 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 1.42501853406429E-0003  2.17053911508432E+0000  1.14173705141191E+0000  2.17053911508432E+0000  1.14173705141191E+0000  2.17053911508432E+0000  1.14173705141191E+0000
 1.52501987759023E-0003  2.49436935355642E+0000  1.20626399757299E+0000  2.49436935355642E+0000  1.20626399757299E+0000  2.49436935355642E+0000  1.20626399757299E+0000
 1.62502122111619E-0003  7.67905364230270E-0001  2.79237227991783E+0000  7.67905364230270E-0001  2.79237227991783E+0000  7.67905364230270E-0001  2.79237227991783E+0000
 1.72502244822681E-0003  1.02881676348009E+0000  3.56547140927477E+0000  1.02881676348009E+0000  3.56547140927477E+0000  1.02881676348009E+0000  3.56547140927477E+0000
 1.82502379175276E-0003  1.32808145775782E+0000  1.46282139438862E+0000  1.32808145775782E+0000  1.46282139438862E+0000  1.32808145775782E+0000  1.46282139438862E+0000
 1.97502574883401E-0003  1.90865162420412E+0000  9.15295496141064E-0001  1.90865162420412E+0000  9.15295496141064E-0001  1.90865162420412E+0000  9.15295496141064E-0001
 2.17502843588591E-0003  1.50724914946061E+0000  1.15198845074167E+0000  1.50724914946061E+0000  1.15198845074167E+0000  1.50724914946061E+0000  1.15198845074167E+0000
 2.37503089010715E-0003  2.27684891093810E+0000  1.26168022240873E+0000  2.27684891093810E+0000  1.26168022240873E+0000  2.27684891093810E+0000  1.26168022240873E+0000
 2.57503357715905E-0003  2.83702510551940E+0000  1.07782474650070E+0000  2.83702510551940E+0000  1.07782474650070E+0000  2.83702510551940E+0000  1.07782474650070E+0000
 2.77503626421094E-0003  1.45978340419431E+0000  2.73832348971306E+0000  1.45978340419431E+0000  2.73832348971306E+0000  1.45978340419431E+0000  2.73832348971306E+0000
 2.97503871843219E-0003  1.62075076543982E+0000  5.46554739939710E+0000  1.62075076543982E+0000  5.46554739939710E+0000  1.62075076543982E+0000  5.46554739939710E+0000
 3.17504140548408E-0003  2.15420673647850E+0000  1.34134610372448E+0000  2.15420673647850E+0000  1.34134610372448E+0000  2.15420673647850E+0000  1.34134610372448E+0000
 3.37504409253597E-0003  1.88196044168092E+0000  2.54690603709188E+0000  1.88196044168092E+0000  2.54690603709188E+0000  1.88196044168092E+0000  2.54690603709188E+0000
 3.57504654675722E-0003  3.11990365084341E+0000  1.59749930109167E+0000  3.11990365084341E+0000  1.59749930109167E+0000  3.11990365084341E+0000  1.59749930109167E+0000
 3.77504923380911E-0003  1.18848517053839E+0000  1.42094493947062E+0000  1.18848517053839E+0000  1.42094493947062E+0000  1.18848517053839E+0000  1.42094493947062E+0000
 4.07505314797163E-0003  1.22307930069203E+0000  2.88330407832890E+0000  1.22307930069203E+0000  2.88330407832890E+0000  1.22307930069203E+0000  2.88330407832890E+0000
 4.47505852207541E-0003  1.72732502720539E+0000  3.48317660769739E+0000  1.72732502720539E+0000  3.48317660769739E+0000  1.72732502720539E+0000  3.48317660769739E+0000
 4.87506343051791E-0003  1.30436199333103E+0000  4.20007197065101E+0000  1.30436199333103E+0000  4.20007197065101E+0000  1.30436199333103E+0000  4.20007197065101E+0000
 5.27506880462170E-0003  1.91654270079395E+0000  2.22815307085326E+0000  1.91654270079395E+0000  2.22815307085326E+0000  1.91654270079395E+0000  2.22815307085326E+0000
 5.67507417872548E-0003  1.87238727974552E+0000  2.40008655100521E+0000  1.87238727974552E+0000  2.40008655100521E+0000  1.87238727974552E+0000  2.40008655100521E+0000
 6.07507908716798E-0003  2.01432719218426E+0000  2.55280854976769E+0000  2.01432719218426E+0000  2.55280854976769E+0000  2.01432719218426E+0000  2.55280854976769E+0000
 6.47508446127176E-0003  1.79837015412739E+0000  2.76564061491719E+0000  1.79837015412739E+0000  2.76564061491719E+0000  1.79837015412739E+0000  2.76564061491719E+0000
 6.87508983537555E-0003  1.56465123397656E+0000  1.69318444290121E+0000  1.56465123397656E+0000  1.69318444290121E+0000  1.56465123397656E+0000  1.69318444290121E+0000
 7.27509474381804E-0003  1.49738572267232E+0000  2.18379341608887E+0000  1.49738572267232E+0000  2.18379341608887E+0000  1.49738572267232E+0000  2.18379341608887E+0000
 7.67510011792183E-0003  1.28597243819944E+0000  2.92682381866445E+0000  1.28597243819944E+0000  2.92682381866445E+0000  1.28597243819944E+0000  2.92682381866445E+0000
